Index,mouse_sample,G-CSF,Eotaxin,GM-CSF,INFg,IL-1a,IL-1b,IL-2,IL-4,IL-3,IL-5,IL-6,IL-7,IL-9,IL-10,IL-12p40,IL-12p70,LIF,IL-13,LIX,IL-15,IL-17,IP-10,KC,MCP-1,MIP-1a,MIP-1b,M-CSF,MIP2,MIG,RANTES,VEGF,TNFa
,2-6T,7583,13304,68.5,13323,158.5,108,620,64,66,454.5,15923,67,131,136,107,67.5,599,129,607,100.5,74,45473.5,344,1652,1024.5,901,114,61121,13280,696,21337.5,110.5
,2-6T,2542,14104.5,51,11545,211.5,127,532,107,96,578,12088,63,124,80,145.5,48,592,94,561.5,68,73,47520.5,730.5,1488.5,1199.5,881.5,110,57386,12839,742.5,17856,85
,2-7L,243,2962,51,3783.5,103,69,123,649,88,392.5,374,80,109,122.5,108.5,31,495.5,136,146,69,103.5,6369,176,280,195.5,861,83,57,15554,2341,110,66
,2-7L,162,4846.5,54.5,3760,100,56,118,673.5,73,382.5,380,64.5,129,131,128,48,408,121.5,118,79,96,6392,179.5,149,166,822,66,65.5,14518,2450,95.5,87
,2-7T,1363.5,18782,39,8062.5,193.5,89,223.5,199,89,1601,934,95,72,135.5,124,46,795.5,147,153,83.5,67,33839,285,2487.5,799.5,982,211,3595,19545,2811.5,6866,105.5
,2-7T,1372,17623,60,7770,131,53,199.5,205,95.5,1248,923,71,97,99,94.5,37,628,128.5,140,72.5,91,34498,287.5,2961,718,801,139,2974,17582,2298,5899,67.5
,2-8L,1419,15290.5,62,18158,131,70.5,78,783.5,95.5,787,571,79,122,121,124,67.5,695.5,142,163,89.5,119,11165,198,204,221.5,813,71,83,19036,2801,137,112
,2-8L,1612,14529,46.5,17739,107.5,75.5,102.5,760,110,1540,531,92.5,125.5,167,142,75,589.5,216,206,69,146.5,10535.5,228,201.5,260,935.5,105,72,18897.5,2753,161.5,71
,2-8T,906,15412,71.5,12387,142.5,89,112,151.5,71,341,750,100,63,113,94,65.5,462,94.5,131,72,47.5,38234,317,1912.5,1803,1039,326,1834,16195.5,2420,3635.5,72.5
,2-8T,1094,6617,70,14063.5,157.5,107,124,204,86,802,838,71,102,133,88,46,642,91,137.5,90,76,39182,493,3284,2056,1024,423,2152,16564,2548,4116,102.5
,2-9L,1712.5,11158,77.5,7649,87,57,89,792,77.5,734,493.5,83.5,120,207,124,38,850,201,154.5,83.5,114,9453,278,198,113,732.5,70,65,18850.5,3192,183,111
,2-9L,1388,10874,61,7699,109.5,82,135,712.5,83.5,594,507,67,105,147,149,43,879,195,193.5,92,98,9587.5,179.5,167,155,873,72,73.5,17138,2466,121,112
,2-9T,2264,16457.5,45.5,12649,218,157,238,201,124,1556.5,7245.5,74,124,158.5,135,47.5,1037,131,225.5,108,99,56877,493,2198,1391.5,944,565,32706,20782.5,1935,13237,145.5
,2-9T,2250.5,15181,58,12737,215,197,217,209,127,1605.5,7403,97,104.5,149,144.5,58,1079.5,185,222.5,92,119,55766.5,442,1970.5,1505,1121,532,31364,21418,1902,13393,157
,3-1L,1932,14860.5,59,85026,186,76,110,175,90.5,636,1694,90.5,125.5,231,154.5,47,1027,143,135,113,88.5,13764.5,257,822.5,479.5,871,69,39,22204.5,4358,218.5,105
,3-1L,1874,12701,73,78237.5,166,93,84,264,82,482.5,1684,98,178,166,140,81.5,1093,155,133,108.5,116,13853,261,760.5,425,1273,69.5,27.5,20979,3905,225.5,111
,3-1T,2930,16797,54,4572,344,129.5,162.5,129,94,252,4459,97,90,115,113,43.5,859,138,217,90,110,48746.5,970,2416,1122.5,989.5,366,37355,22066,2789,6400,120
,3-1T,2546,16388,42,4334,314.5,140,156.5,150,91,243,4229,89,102,169,126,64.5,794.5,124,216,69.5,76,43045,794,2175,1116,900.5,370,37748,18671,2525,6221.5,132
